id,parent_id,root
cqugcep,34g8nu,34g8nu
cqugcey,cqufrya,cqufrya
cqugcfq,cqugc1u,cqug87u
cqugcg8,cqueefj,cqueefj
cqugcgb,34gmev,34gmev
cqugcgl,cqug9wo,cqug7jv
cqugcgu,cquea5f,cquea5f
cqugchb,cqugc2d,cqufwnm
cqugchl,34ffo5,34ffo5
cqugchn,cqufdoq,cqufdoq
cqugchq,34gexn,34gexn
cqugci5,cqufisu,cqufisu
cqugcid,cqu4w46,cqu4w46
cqugcio,cqudpc9,cqudpc9
cqugcj3,cquer52,cquer52
cqugcje,cque5a0,cque5a0
cqugcjx,34gn8e,34gn8e
cqugck0,cqu6223,cqu6223
cqugck7,cqtnaul,cqtnaul
cqugcks,34gn0o,34gn0o
cqugcl5,cqu6hqg,cqu6hqg
cqugcl9,cqufm6i,cqufm6i
cqugcls,cqugapa,cqug8s8
cqugclz,34dvbd,34dvbd
cqugcm7,cqug1hp,cqug1hp
cqugcn5,cqu9dac,cqu9dac
cqugcn6,cqucu01,cqucu01
cqugcni,cqug8cq,cqug8cq
cqugcnq,34fwvr,34fwvr
cqugcns,34gn4n,34gn4n
cqugco1,cqu8r6j,cqu8r6j
cqugco5,cqug9fk,34gmug
cqugcoe,cqrgwrv,cqrgwrv
cqugcon,cqugbib,cqufqsd
cqugcor,cques73,cques73
cqugcos,34g2ww,34g2ww
cqugcp2,34g989,34g989
cqugcp4,34ft7i,34ft7i
cqugcp8,cqug9pb,cque1rp
cqugcq3,34ffo5,34ffo5
cqugcqo,cqugb1t,34gmmd
cqugcqq,cqu8kf5,cqu8kf5
cqugcqt,cqu752p,cqu752p
cqugcr3,34ffo5,34ffo5
cqugcro,cqueo11,cqueo11
cqugcrq,34gmys,34gmys
cqugcsi,cqugc1u,cqug87u
cqugcso,cqu62lc,cqu62lc
cqugcsq,cqug5rb,cqug5rb
cqugcsr,cqudj92,cqudj92
cqugctl,cqueuwb,cqueuwb
cqugcto,34gn25,34gn25
cqugcty,cqueyy7,cqueyy7
cqugcu1,34ffo5,34ffo5
cqugcuc,cqugcfq,cqug87u
cqugcum,34ffhl,34ffhl
cqugcv4,cqu3u0j,cqu3u0j
cqugcva,cqugb7b,34gete
cqugcvi,34fyop,34fyop
cqugcvr,cqu4mne,cqu4mne
cqugcvx,cqudj4b,cqudj4b
cqugcw1,cqug3ch,cqug3ch
cqugcw8,cqufxel,cqufxel
cqugcw9,34g8nu,34g8nu
cqugcwb,34fvry,34fvry
cqugcwf,cqu8aed,cqu8aed
cqugcwj,34ft7i,34ft7i
cqugcwz,cqug4mv,cqug4mv
cqugcx3,cqu0ico,cqu0ico
